participant,block_number,trial_number,reward_oneback,stay,K,K_c,reward_oneback_pm,reward_oneback_wp,reward_oneback_pm_c
5c41f9ce4fe4f800016dfaac,4,18,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,19,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,20,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,21,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,22,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,23,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,24,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,4,25,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,2,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,3,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,4,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,5,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,6,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,7,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,8,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,9,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,10,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,11,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,12,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,13,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,14,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,15,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,16,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,17,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,18,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,19,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,20,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,21,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,22,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,23,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,24,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,5,25,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,2,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,3,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,4,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,5,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,6,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,7,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,8,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,9,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,10,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,11,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,12,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,13,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,14,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,15,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,16,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,17,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,18,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,19,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,20,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,21,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,22,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,6,23,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
